Assists,Goal_Shot_Ratio,Goals,MVPs,Player_name,Rank,Saves,Shots,TRN_Score,Wins
"16,776",45.6,"36,505","6,187",YelloW B!rD,2512,"26,271","80,263","175,897.40","13,664"
"23,484",40.5,"36,505","6,841",itti_SA_,2512,"25,529","90,332","280,602.40","19,796"
"10,228",46.5,"36,505","7,590",MortalDead,2512,"25,688","78,537","215,712.60","11,925"
"9,308",49.8,"36,506","4,903",FlAim,2511,"20,767","73,320","124,425.80","11,609"
"15,293",46.2,"36,507","5,612",Sampson!,2510,"26,171","78,987","90,875.60","14,984"
"3,360",57.7,"36,508","1,619",hlfbkd420,2508,"14,308","64,361","89,975.20","6,899"
"5,993",54.6,"36,508","2,572",ChristoRege,2508,"21,159","66,913","1,286.30","8,268"
"10,886",46.9,"36,510","7,445",SauceSwanson,2504,"25,238","77,776","301,743.80","11,818"
"13,694",47.7,"36,510","7,133",Horndog_SA,2504,"25,288","76,577","102,806.90","14,416"
"7,280",56.6,"36,510","2,906",kdam,2504,"7,312","64,968","121,586.10","9,978"
"16,609",41.3,"36,510","6,697",Sozya LF1,2504,"43,372","88,546","331,451.20","14,787"
"20,435",42.2,"36,071","7,987",Timbo,2698,"27,041","85,450","231,913.70","18,598"
"10,478",50.3,"36,076","4,114",RGNLD,2696,"25,439","71,810","400,651.10","12,298"
"8,226",48,"36,521","4,525",Evemple,2501,"25,289","76,030","144,797.50","9,796"
"8,093",49.8,"36,073","3,939",DLeSstRw_,2697,"28,336","72,463","568,566.50","9,036"
"14,627",42.5,"36,080","6,690",x_STONERBOYZZ_x,2694,"32,675","85,013","301,145.20","12,519"
"10,175",50.1,"36,519","4,101",jamilyo43086,2502,"23,059","72,935","173,125.30","10,750"
"14,924",46.2,"36,081","7,570",Dangerous-D299,2693,"23,209","78,326","107,775.30","15,042"
"11,941",53.1,"36,082","4,524",rolls6969,2692,"15,123","68,024","225,730.90","11,715"
"6,238",53.6,"36,083","2,919",EmortalSniper13,2690,"18,054","67,766","112,729.20","8,334"
"14,228",47.9,"36,085","7,902",baby blue,2688,"23,609","75,717","176,083.70","14,497"
"21,877",47.2,"36,083","7,319",N-roy07,2690,"25,880","76,468","167,386.70","19,738"
"12,643",47.7,"36,085","4,581",Shazumif,2688,"24,870","75,792","166,029.80","11,943"
"16,547",44.9,"36,096","5,616",bisounours-SAMA,2686,"21,101","80,338","328,552.00","13,946"
"8,269",49.4,"36,093","3,182",D4ryI,2687,"25,731","73,195","12,171.80","10,041"
"12,979",45.5,"36,103","5,884",Fînal,2683,"26,325","79,300","225,220.30","11,924"
"9,972",49.6,"36,101","3,444",Miguelithen,2685,"19,776","72,923","156,489.50","11,323"
"12,791",56.6,"36,103","5,968",RangerSuperHero,2683,"11,097","64,034","88,068.20","16,236"
"13,095",47,"36,108","5,350",]-[ D x,2682,"25,105","77,294","99,539.00","12,175"
"8,868",49.9,"36,110","4,719",PolecatIV,2681,"30,512","72,428","166,447.50","11,634"
"9,186",50.4,"36,112","5,060",HailOfBullets,2679,"21,795","72,403","92,643.30","10,267"
"16,227",50.2,"36,112","6,327",Rodion,2679,"17,177","72,904","123,525.40","15,058"
"18,278",41.7,"36,115","8,257",INTeresting,2677,"29,570","86,680","158,668.20","15,057"
"15,029",47,"36,115","6,631",Olirivier,2677,"30,715","76,863","201,910.10","13,362"
"17,998",42.2,"36,116","7,986",Chillderz,2676,"33,374","85,566","252,054.30","15,497"
"13,334",46.5,"36,117","5,162",43,2675,"33,485","77,709","8,917,005.60","12,967"
"14,117",44.8,"36,122","5,915",Kooby,2673,"25,558","80,659","195,597.70","11,566"
"9,668",52.8,"36,122","4,501",freakyrosebuddy,2673,"24,842","69,208","220,049.20","11,044"
"16,318",42.9,"36,123","6,462",Totom3717,2672,"40,778","84,230","382,667.00","15,359"
"11,155",53.6,"36,125","4,280",@GoPastTheLimit,2671,"49,738","67,408","189,079.20","11,209"
"14,863",45.6,"36,126","5,478",Fiusk,2669,"28,779","79,255","206,935.90","13,294"
"15,916",43.3,"36,126","7,006",Hesh_From_Texas,2669,"26,679","83,370","105,317.90","13,579"
"3,249",58,"36,128","2,083",Jhams Solo,2668,"18,512","63,052","135,762.70","6,712"
"8,912",51.6,"36,131","3,780",xxcybrogxx,2666,"21,175","70,191","5,968,443.70","10,316"
"16,069",41.6,"36,132","7,222",Dan,2665,"35,828","87,158","325,608.20","14,931"
